City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
464,Kapoeta,SS,82.24,overcast clouds,4.7717,33.5903,Eastgate Hotel
465,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
469,Bocas Del Toro,PA,82.08,few clouds,9.3333,-82.25,Hotel Bocas del Toro
471,Ojinaga,MX,79.57,clear sky,29.5667,-104.4167,Suites Las Palmas
476,Mackay,AU,82.69,few clouds,-21.15,149.2,International Lodge Motel
478,Rock Sound,BS,80.17,overcast clouds,24.9,-76.2,Rock Sound Club
483,Sibu,MY,75.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
490,Mildura,AU,75.16,broken clouds,-34.2,142.15,Mercure Hotel Mildura
491,Iranduba,BR,88.09,overcast clouds,-3.2847,-60.1861,Evolução Ecolodge
496,Eldorado,BR,75.07,light rain,-23.7869,-54.2836,Villa Verde Hotel
498,Boa Vista,BR,87.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
509,La Palma,US,90.91,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
512,Samfya,ZM,73.26,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
515,Sinnamary,GF,78.71,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
516,Mahajanga,MG,80.62,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
518,Moindou,NC,76.95,overcast clouds,-21.6924,165.677,Gite de la RYAWA
519,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
520,Ponta Delgada,PT,70.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
526,Port Moresby,PG,85.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
531,Colonia Leopoldina,BR,80.42,broken clouds,-8.9089,-35.725,Pousada Encontro dos Amigos
535,Shirdi,IN,70.56,overcast clouds,19.7667,74.4833,Shradha Saburi Palace
536,Daru,PG,84.38,scattered clouds,-9.0763,143.2092,Daru Lodge
539,Mecca,SA,78.49,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
540,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
545,Karratha,AU,85.35,clear sky,-20.7377,116.8463,ibis Styles Karratha
548,Bac Lieu,VN,79.86,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
551,Emerald,AU,80.74,broken clouds,-23.5333,148.1667,The Irish Village
553,Barstow,US,83.48,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
555,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
556,Hurricane,US,74.7,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
